,0,1,2,3,4,5,6,7,8,9,10,11
0,1648715400000,47121.91000000,47204.40000000,47089.47000000,47182.01000000,85.78000000,1648716299999,4042780.02812030,3056,37.89730000,1786312.00034060,0
1,1648716300000,47184.00000000,47332.85000000,47163.23000000,47263.15000000,174.02678000,1648717199999,8227403.30475880,4626,104.19132000,4926143.63489880,0
2,1648717200000,47260.62000000,47289.87000000,47205.95000000,47205.96000000,62.35396000,1648718099999,2946240.08559380,2389,21.62117000,1021639.71312330,0
3,1648718100000,47205.95000000,47211.01000000,47135.71000000,47160.16000000,109.15091000,1648718999999,5149308.53026470,3164,37.27366000,1758378.43753140,0
4,1648719000000,47160.17000000,47227.72000000,47140.00000000,47227.72000000,56.73437000,1648719899999,2676817.35249500,2372,26.62081000,1256005.33079510,0
5,1648719900000,47227.72000000,47356.30000000,47194.83000000,47314.12000000,158.45763000,1648720799999,7496108.48588410,3805,72.20435000,3415241.27954870,0
6,1648720800000,47314.12000000,47395.25000000,47292.50000000,47292.51000000,122.12621000,1648721699999,5781845.10529160,3892,55.70026000,2637226.79657860,0
7,1648721700000,47292.50000000,47323.52000000,47266.55000000,47296.75000000,48.68242000,1648722599999,2302175.19468960,2503,25.27545000,1195253.54280950,0
8,1648722600000,47296.76000000,47296.76000000,47230.01000000,47269.36000000,57.80671000,1648723499999,2731998.17295060,2571,25.10364000,1186370.54885560,0
9,1648723500000,47269.36000000,47290.00000000,47225.00000000,47286.02000000,56.48146000,1648724399999,2668768.78943900,2389,17.51080000,827364.11909590,0
10,1648724400000,47286.02000000,47290.00000000,47220.00000000,47235.15000000,57.60167000,1648725299999,2721500.35538810,2613,24.32289000,1149107.06825690,0
11,1648725300000,47235.15000000,47258.63000000,47201.04000000,47203.00000000,50.31418000,1648726199999,2376180.93807160,2127,16.69447000,788452.46984790,0
12,1648726200000,47203.00000000,47203.29000000,47101.00000000,47103.93000000,144.89266000,1648727099999,6832230.28685590,3927,52.08813000,2456584.26228420,0
13,1648727100000,47103.94000000,47180.00000000,47103.93000000,47166.15000000,97.59665000,1648727999999,4601433.00214690,3035,52.89153000,2493550.98779050,0
14,1648728000000,47166.15000000,47198.49000000,47140.01000000,47161.66000000,60.27339000,1648728899999,2843251.71927440,3038,28.52047000,1345353.35260320,0
15,1648728900000,47161.67000000,47321.00000000,47124.00000000,47303.08000000,91.04424000,1648729799999,4297086.42747310,4091,54.66866000,2580773.58185530,0
16,1648729800000,47303.10000000,47553.16000000,47277.64000000,47404.71000000,385.22072000,1648730699999,18273480.45938130,10512,224.00285000,10626566.02445710,0
17,1648730700000,47404.71000000,47443.61000000,47347.40000000,47414.73000000,108.61274000,1648731599999,5148883.90813910,3661,41.22273000,1954012.98084050,0
18,1648731600000,47414.74000000,47619.99000000,47201.17000000,47257.09000000,414.66232000,1648732499999,19664404.98833720,10359,206.99894000,9820788.17687830,0
19,1648732500000,47260.37000000,47305.28000000,47081.41000000,47190.07000000,129.85379000,1648733399999,6124495.82097600,4660,45.96645000,2167890.24735930,0
